Iteration;Objective;Time (s) 
1;486.86;0.5
2;486.86;0.5
3;486.86;0.5
4;496.03;0.5
5;496.03;0.5
6;496.03;0.5
7;496.03;0.5
8;496.03;0.5
9;496.03;0.6
10;496.03;0.6
11;496.03;0.6
12;496.03;0.6
13;496.03;0.6
14;496.03;0.6
15;496.03;0.6
16;496.03;0.6
17;496.03;0.6
18;496.03;0.6
19;496.03;0.6
20;496.03;0.6
21;496.03;0.6
22;496.03;0.6
23;496.03;0.6
24;496.03;0.6
25;496.03;0.7
26;496.03;0.7
27;496.03;0.7
28;496.03;0.7
29;496.03;0.7
30;496.03;0.7
31;496.03;0.7
32;496.03;0.7
33;496.03;0.7
34;496.03;0.7
35;496.03;0.7
36;496.03;0.7
37;496.03;0.7
38;496.03;0.7
39;496.03;0.7
40;496.03;0.7
41;496.03;0.8
42;496.03;0.8
43;496.03;0.8
44;496.03;0.8
45;496.03;0.8
46;496.03;0.8
47;496.03;0.8
48;497.12;0.8
49;497.12;0.8
50;497.12;0.8
51;497.95;0.8
52;497.95;0.8
53;497.95;0.8
54;497.95;0.8
55;497.95;0.8
56;497.95;0.8
57;497.95;0.9
58;497.95;0.9
59;497.95;0.9
60;497.95;0.9
61;497.95;0.9
62;497.95;0.9
63;497.95;0.9
64;497.95;0.9
65;497.95;0.9
66;497.95;0.9
67;497.95;0.9
68;497.95;0.9
69;497.95;0.9
70;497.95;0.9
71;497.95;0.9
72;497.95;1.0
73;497.95;1.0
74;497.95;1.0
75;497.95;1.0
76;497.95;1.0
77;498.0;1.0
78;498.0;1.0
79;498.0;1.0
80;498.0;1.0
81;498.0;1.0
82;498.0;1.0
83;498.0;1.0
84;498.0;1.0
85;498.0;1.0
86;498.0;1.0
87;498.0;1.1
88;498.0;1.1
89;498.0;1.1
90;498.0;1.1
91;498.0;1.1
92;498.0;1.1
93;498.0;1.1
94;498.0;1.1
95;498.0;1.1
96;498.0;1.1
97;498.0;1.1
98;498.0;1.1
99;498.0;1.1
100;498.0;1.1
Iteration;Objective;Time (s) 
1;491.05;0.0
2;491.05;0.0
3;491.05;0.0
4;497.01;0.0
5;497.01;0.1
6;497.01;0.1
7;497.01;0.1
8;497.01;0.1
9;497.01;0.1
10;497.01;0.2
11;497.01;0.2
12;497.01;0.2
13;497.01;0.2
14;497.01;0.2
15;497.01;0.2
16;497.8;0.2
17;497.8;0.2
18;497.8;0.2
19;497.8;0.2
20;497.8;0.2
21;497.8;0.2
22;497.8;0.2
23;497.8;0.2
24;497.8;0.2
25;497.8;0.3
26;497.8;0.3
27;497.8;0.3
28;497.8;0.3
29;497.8;0.3
30;497.8;0.3
31;497.8;0.3
32;497.8;0.3
33;497.8;0.3
34;497.8;0.3
35;497.8;0.3
36;497.8;0.3
37;497.8;0.3
38;497.8;0.3
39;497.8;0.4
40;497.8;0.4
41;497.8;0.4
42;497.8;0.4
43;497.8;0.4
44;497.8;0.4
45;497.8;0.4
46;497.8;0.4
47;497.8;0.4
48;497.8;0.4
49;497.8;0.4
50;497.8;0.4
51;497.8;0.4
52;497.8;0.4
53;497.8;0.5
54;497.8;0.5
55;497.8;0.5
56;497.8;0.5
57;497.8;0.5
58;497.8;0.5
59;497.8;0.5
60;497.8;0.5
61;497.8;0.5
62;497.8;0.5
63;497.8;0.5
64;497.8;0.5
65;497.8;0.5
66;497.8;0.5
67;497.8;0.6
68;497.8;0.6
69;497.8;0.6
70;497.8;0.6
71;497.8;0.6
72;497.8;0.6
73;497.8;0.6
74;497.8;0.6
75;497.8;0.6
76;497.8;0.6
77;497.8;0.6
78;497.8;0.6
79;497.8;0.6
80;497.8;0.6
81;497.8;0.7
82;497.8;0.7
83;497.8;0.7
84;497.8;0.7
85;497.8;0.7
86;497.8;0.7
87;497.8;0.7
88;497.8;0.7
89;497.8;0.7
90;497.8;0.7
91;497.8;0.7
92;497.8;0.7
93;497.8;0.7
94;497.8;0.7
95;497.8;0.8
96;497.8;0.8
97;497.8;0.8
98;497.8;0.8
